,Number,Names
6716,6717, The staff were friendly and took time to deal with people on a personal level 
6717,6718, Reception staff were excellent 
6726,6727, The staff were very friendly and attentive
6742,6743, Super staff Friendly and helpful Would definitely come again 
6763,6764, Brilliant position clean helpful staff
6774,6775, Front desk staff were amazing and really helpful particularly as my wife is 36 weeks pregnant
6806,6807, Very friendly front of house staff
6826,6827, Everything The attitude of the staff the helpfulness of everyone particularly Gary the concierge 
6833,6834, The staff were really attentive to their guests 
6841,6842, excellent staff welcome and facilities
6848,6849, comfortable bed friendly and helpful staff
6862,6863, Pleasant staff friendly yet professional
6868,6869, Free disabled parking and facilities Excellent friendly staff 
6929,6930, staff could not do enough for you
6950,6951, Very hospitable staff are very helpful 
6960,6961, Very accommodating friendly staff
6962,6963, Amazing views and service from all staff
6966,6967, I thought that the staff were great they took the time to listen and help me when needed 
7010,7011, The multinational staff were extremely friendly and helpful
7042,7043, Excellent staff great attitude to customers
7055,7056, Large bath tub beds were comfy and staff were really friendly
7067,7068, Really comfortable bed The staff especially the concierge are very friendly and knowledgeable about the local area The gym is excellent 
7089,7090, i loved the welcome note from a housekeeping staff clean and welcoming 
7108,7109, Service from staff was superb all round 
7114,7115, Very friendly staff very family friendly
7136,7137, Lovely reception staff and we were upgraded A lovely surprise 
7147,7148, The service was excellent and staff extremely friendly
7164,7165, The staff were very polite and went out of their way to make us welcome 
7198,7199, Fabulous ad swift check in great staff and great customer service and wow what a view 
7209,7210, The staff were excellent and helped make our stay a memorable one
7220,7221, Everything was good from the staff to the cleanliness And was near to everything we wanted this is the third time that I d been here
7227,7228, Excellent staff Could not of tried any harder to please me and my family Claudio is a hugh credit to crown plaza 
7242,7243, The breakfast was lovely and the staff were very helpful and professional 
7312,7313, All staff from the front of house to the cleaning staff All very polite and extremely helpful 
7324,7325, I like how the staff was friendly with arabs
7337,7338, The staff were fantastic Excellent service
7362,7363, Friendly staff Handy for Westminster and Waterloo 
7399,7400, the bed is comfortable and staff friendly
7415,7416, Reception staff are great Great views from higher floors
7425,7426, All staff friendly and extremely helpful
7456,7457, Excellent staff very professional and extremely helpful Made our stay very special Thank you 
7457,7458, friendly and very helpful reception and concierge staff 
7473,7474, Attentive professional staff close to Waterloo Station
7474,7475, The staff The accommodation We were given a complimentary upgrade as it was my husband s birthday Wonderful 
7484,7485, Wonderful staff So switched on and so genuinely helpful and concerned about pleasing guests
7491,7492, Appreciated the customer service and attention to detail with the service all staff were friendly and professional The bar very smart is a welcoming comfortable place at the end of a long day in London sightseeing celebrating especially for for a late night drink snack
7504,7505, Very friendly and carering staff They make you feel like you want to come back over and over again 
7508,7509, Absolute perfection The staff were all attentive and well trained They could not have been better 
7515,7516, Extremely polite warm staff We have stayed before but they made us feel like regulars 
7536,7537, The friendly staff at the bar front desk concierge houskeeping They were all excellent very professional 
7540,7541, The staff were delightful and made us feel special Everyone was equally friendly yet unobtrusive
7543,7544, Based in the heart of London with everything on your doorstep Warm friendly and welcoming staff that make your stay truly pleasurable 
7551,7552, The staff new my kids names at check in that was a nice touch 
7565,7566, The atmosphere staff and service 
7566,7567, To be honest everything warm hospitality and the service was amazimg very helpful staff definitely i will be back again 
7572,7573, Very very good staffs they did great job
7605,7606, Attitude and demeanour of the staff always so positive and helpful
7606,7607, staff very professional and helpful 
7612,7613, Ambience of lobby lounge and attentiveness of staff 
